Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
JOSH WALKER,TC,77,29,8,11,25,3,1,0,1,0.377,0.385,0.442,0.826,0,,,,,,,,,,,,,,,,,
STEVE MESSINA,JL,64,24,5,15,18,2,2,2,2,0.375,0.394,0.563,0.956,3,,,,,,,,,,,,,,,,,
DAVID WAGREICH,BK,75,28,12,21,23,2,2,1,1,0.373,0.382,0.493,0.875,3,,,,,,,,,,,,,,,,,
GIOVANNI SCIANCALEPORE,EB,62,23,7,13,23,0,0,0,7,0.371,0.435,0.371,0.806,4,,,,,,,,,,,,,,,,,
RUSSELL KRAUSS,MK,54,20,9,11,14,6,0,0,1,0.370,0.382,0.481,0.863,6,,,,,,,,,,,,,,,,,
BRYAN THOMPSON,MP,73,27,15,12,26,0,1,0,11,0.370,0.452,0.397,0.850,1,,,,,,,,,,,,,,,,,
MICHAEL CRUZ,ER,76,28,15,13,22,5,1,0,8,0.368,0.429,0.461,0.889,1,,,,,,,,,,,,,,,,,
ROB PERRONE,MC,38,14,4,6,14,1,0,0,2,0.368,0.400,0.421,0.821,1,,,,,,,,,,,,,,,,,
JOEL PODOS,MC,57,21,9,8,21,0,0,0,3,0.368,0.400,0.368,0.768,5,,,,,,,,,,,,,,,,,
ALEX GOLDFARB,AG,71,26,6,19,23,1,2,0,7,0.366,0.423,0.437,0.860,2,,,,,,,,,,,,,,,,,
DOUG COHEN,AG,44,16,16,5,15,1,0,0,14,0.364,0.517,0.386,0.904,6,,,,,,,,,,,,,,,,,
JASON SOSKEL,MK,58,21,7,11,18,3,0,0,1,0.362,0.373,0.414,0.787,3,,,,,,,,,,,,,,,,,
CHRIS BALDINO,JB,75,27,19,20,17,7,0,3,2,0.360,0.377,0.573,0.950,2,,,,,,,,,,,,,,,,,
RYAN WALLMAN,TW,50,18,12,2,15,1,2,0,1,0.360,0.373,0.460,0.833,6,,,,,,,,,,,,,,,,,
CHRIS FROMETA,TW,25,9,1,2,9,0,0,0,4,0.360,0.448,0.360,0.808,0,,,,,,,,,,,,,,,,,
VINCENT SOLANO JR,GM,59,21,7,3,16,4,1,0,2,0.356,0.377,0.458,0.835,4,,,,,,,,,,,,,,,,,
TOM BONGIOVANNI,FL,76,27,14,15,22,4,1,0,10,0.355,0.430,0.434,0.864,0,,,,,,,,,,,,,,,,,
JASON FEINGOLD,JB,71,25,19,8,24,1,0,0,4,0.352,0.387,0.366,0.753,1,,,,,,,,,,,,,,,,,
KURT SCHMIDT,SD,77,27,17,16,24,3,0,0,1,0.351,0.359,0.390,0.749,2,,,,,,,,,,,,,,,,,
JOHN MAGUIRE,JB,60,21,8,11,18,1,2,0,0,0.350,0.350,0.433,0.783,5,,,,,,,,,,,,,,,,,
